       X(m)            Y(m)              Y(m)         
   -1132915.1845    6092529.9054    1504633.3269
   -1132915.1847    6092529.9019    1504633.3272
   -1132915.1810    6092529.8960    1504633.3248
   -1132915.1852    6092529.9140    1504633.3163
   -1132915.1807    6092529.8928    1504633.3300
   -1132915.1911    6092529.9021    1504633.3280
   -1132915.1854    6092529.8922    1504633.3364
   -1132915.1876    6092529.8663    1504633.3498
   -1132915.1806    6092529.8763    1504633.3482
   -1132915.1880    6092529.8636    1504633.3461
   -1132915.1933    6092529.8830    1504633.3463
   -1132915.2037    6092529.8748    1504633.3414
   -1132915.2086    6092529.8857    1504633.3422
   -1132915.3410    6092529.0956    1504633.2408
   -1132915.3447    6092529.1152    1504633.2362
   -1132915.3430    6092529.1076    1504633.2355
   -1132915.3368    6092529.1345    1504633.2454
   -1132915.1055    6092530.5948    1504633.4439
   -1132915.0472    6092530.9948    1504633.5006
   -1132915.0918    6092530.7136    1504633.4629
   -1132915.1039    6092530.6238    1504633.4473
   -1132915.2009    6092530.0150    1504633.3577
   -1132915.2275    6092529.8555    1504633.3405
   -1132915.2799    6092529.5768    1504633.3058
   -1132915.2897    6092529.5400    1504633.2942
   -1132915.2723    6092529.6977    1504633.3145
   -1132915.2743    6092529.6749    1504633.3193
   -1132915.2680    6092529.7820    1504633.3300
   -1132915.2883    6092529.7214    1504633.3219
   -1132915.2856    6092529.7470    1504633.3350
   -1132915.2950    6092529.7557    1504633.3384
   -1132915.2931    6092529.7506    1504633.3413
   -1132915.2909    6092529.7261    1504633.3339
   -1132915.2974    6092529.7214    1504633.3345
   -1132915.2946    6092529.7334    1504633.3444
   -1132915.2873    6092529.7457    1504633.3448
   -1132915.2979    6092529.7320    1504633.3448
   -1132915.2952    6092529.7275    1504633.3439
   -1132915.3134    6092529.7411    1504633.3477
   -1132915.3216    6092529.7417    1504633.3437
   -1132915.3297    6092529.7652    1504633.3477
   -1132915.3422    6092529.7634    1504633.3454
   -1132915.3431    6092529.8059    1504633.3467
   -1132915.3484    6092529.8081    1504633.3471
   -1132915.3613    6092529.8339    1504633.3534
   -1132915.3569    6092529.7778    1504633.3455
   -1132915.3559    6092529.7679    1504633.3424
   -1132915.3476    6092529.7806    1504633.3465
   -1132915.3538    6092529.7764    1504633.3441
   -1132915.3753    6092529.7391    1504633.3350
   -1132915.3791    6092529.7101    1504633.3255
   -1132915.4020    6092529.6455    1504633.3047
   -1132915.4060    6092529.5853    1504633.2955
   -1132915.4136    6092529.5822    1504633.2973
   -1132915.4254    6092529.5786    1504633.3011
   -1132915.4309    6092529.5684    1504633.3029
   -1132915.4495    6092529.5516    1504633.2981
   -1132915.4489    6092529.5132    1504633.2934
   -1132915.4489    6092529.5239    1504633.2936
   -1132915.4364    6092529.5515    1504633.2983
   -1132915.0385    6092529.0679    1504633.4556
   -1132915.0483    6092529.1005    1504633.4364
   -1132915.0169    6092529.0378    1504633.4910
   -1132915.0291    6092529.0801    1504633.4653
   -1132915.0279    6092529.1071    1504633.4738
   -1132915.0367    6092529.1672    1504633.4338
   -1132915.0265    6092529.1398    1504633.4291
   -1132915.0314    6092529.1175    1504633.4285
   -1132915.0357    6092529.1683    1504633.4099
   -1132915.0373    6092529.1810    1504633.4130
   -1132915.0403    6092529.2054    1504633.4081
   -1132915.0279    6092529.1831    1504633.4105
   -1132915.0245    6092529.1833    1504633.4040
   -1132915.0194    6092529.1478    1504633.4095
   -1132915.0230    6092529.1476    1504633.3994
   -1132915.0124    6092529.1141    1504633.3923
   -1132915.0127    6092529.1257    1504633.3858
   -1132915.0119    6092529.0867    1504633.3671
   -1132915.0041    6092529.0903    1504633.3727
   -1132914.9965    6092529.0671    1504633.3748
   -1132914.9954    6092529.0603    1504633.3697
   -1132914.9959    6092529.0240    1504633.3573
   -1132914.9939    6092529.0429    1504633.3520
   -1132914.9959    6092529.0247    1504633.3408
   -1132914.9942    6092529.0020    1504633.3329
   -1132914.9944    6092528.9791    1504633.3208
   -1132914.9969    6092528.9983    1504633.3125
   -1132915.0332    6092529.0694    1504633.2511
   -1132915.0224    6092529.0368    1504633.2344
   -1132914.3700    6092528.1736    1504633.3685
   -1132914.3924    6092528.1783    1504633.3486
   -1132914.4343    6092528.1978    1504633.3252
   -1132914.4532    6092528.1769    1504633.3071
