       X(m)            Y(m)              Y(m)         
   -1132914.9716    6092529.7563    1504633.7828
   -1132914.9750    6092529.7509    1504633.7855
   -1132914.9728    6092529.7433    1504633.7912
   -1132914.9624    6092529.7116    1504633.7930
   -1132914.9678    6092529.7112    1504633.7973
   -1132914.9627    6092529.7108    1504633.7956
   -1132914.9592    6092529.6826    1504633.7963
   -1132914.7638    6092529.3071    1504633.5476
   -1132915.0478    6092529.8393    1504633.9077
   -1132915.0430    6092529.9053    1504634.0064
   -1132914.8703    6092529.6463    1504633.8767
   -1132914.7588    6092529.4291    1504633.7576
   -1132914.7845    6092529.5273    1504633.8521
   -1132914.8140    6092529.6026    1504633.9220
   -1132914.8540    6092529.6410    1504633.9488
   -1132914.8579    6092529.6288    1504633.9532
   -1132914.8345    6092529.5365    1504633.9075
   -1132914.8023    6092529.4495    1504633.8525
   -1132914.8012    6092529.3872    1504633.8284
   -1132914.7864    6092529.3052    1504633.7828
   -1132914.8041    6092529.3037    1504633.8002
   -1132914.8176    6092529.2614    1504633.8032
   -1132914.8333    6092529.2459    1504633.8178
   -1132914.8082    6092529.1248    1504633.7662
   -1132914.7937    6092529.0342    1504633.7549
   -1132914.7962    6092528.9691    1504633.7468
   -1132914.8004    6092528.8814    1504633.7351
   -1132914.8039    6092528.7975    1504633.7531
   -1132914.7847    6092529.6804    1504633.6886
   -1132914.7918    6092529.6920    1504633.6892
   -1132914.7868    6092529.6552    1504633.6910
   -1132914.7856    6092529.6601    1504633.7005
   -1132914.8004    6092529.6647    1504633.7028
   -1132914.7871    6092529.6583    1504633.7107
   -1132914.7954    6092529.6649    1504633.7154
   -1132914.7811    6092529.6525    1504633.7006
   -1132914.7764    6092529.6547    1504633.7068
   -1132914.7826    6092529.6553    1504633.7155
   -1132914.8024    6092529.6824    1504633.7349
   -1132914.8017    6092529.7049    1504633.7479
   -1132914.8059    6092529.7049    1504633.7586
   -1132914.7893    6092530.0292    1504633.9342
   -1132914.7769    6092530.0175    1504633.9314
   -1132914.7651    6092529.9923    1504633.9116
   -1132914.7545    6092529.9869    1504633.9150
   -1132914.7512    6092529.9969    1504633.9196
   -1132914.7448    6092529.9867    1504633.9076
   -1132914.7479    6092529.9669    1504633.9073
   -1132914.7347    6092529.9396    1504633.9025
   -1132914.7314    6092529.9291    1504633.8977
   -1132914.7249    6092529.9122    1504633.8910
   -1132914.7342    6092529.9132    1504633.8988
   -1132914.7318    6092529.9082    1504633.9020
   -1132914.7332    6092529.8925    1504633.8920
   -1132914.7379    6092529.8946    1504633.8882
   -1132914.7424    6092529.8984    1504633.8802
   -1132914.7471    6092529.8908    1504633.8837
   -1132914.7479    6092529.8959    1504633.8802
   -1132914.7459    6092529.8991    1504633.8844
   -1132914.7389    6092529.8906    1504633.8768
   -1132914.7387    6092529.8918    1504633.8685
   -1132914.7395    6092529.8854    1504633.8694
   -1132914.7298    6092529.8680    1504633.8726
   -1132914.7375    6092529.8600    1504633.8682
